세부사업명,주요내용,분야,학생 여부,소득 기준,취약계층사업 여부,취약계층 유형,취창업 여부,연령구분 여부,연령 구분,지원형태,관련 법령, 예산(천원) 
도심형 청년 창업․주거 복합공간 조성,ㅇ (목적) 청년 창업인의 지역내 안정적 정착 지원ㅇ (대상) (예비)창업자ㅇ (주요내용) 창업〮주거 복합공간 제공ㅇ (전달체계) 입주자 공모,일자리,학생여부무관,소득무관,무관,무관,예비창업청년,청년연령,18세~39세,혼합형,｢부산광역시 기술창업 지원 조례」제8조,1100
동네 청년활동공간 활성화 지원,ㅇ (목적)청년 누구나 편하게 찾고 참여할 수 있는 공간 조성ㅇ (대상) 동네 청년활동공간ㅇ (주요내용) 청년의 다양한 생활패턴을 고려하여 평일 야간 및 주말 운영시간 확대에 따른 인건비 지원 ㅇ (전달체계) 부산광역시→구군 ,참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시청년기본조례,600
디지털 치의학 신기술 교육지원 사업,"ㅇ (목적) 부산치의학산업계 최신 디지털 치과기기 전환 및 활용을 위한 실무종사자 교육 실시ㅇ (대상) 디지털 치과기기 활용 실무종사자          (치과의사/위생사/기공사, 재학생 등)ㅇ (주요내용) 최신 디지털 치과기기 및 전용 SW 등을 활용한 이론, 실습교육ㅇ (전달체계) 시→부산경제진흥원(공기관위탁사업비)",교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,부산광역시 치의학산업 육성 및 지원 조례,90
"반도체 분야 전문인력 양성 (반도체 특성화대학 지원사업, 부산대)",ㅇ (목적) 반도체산업의 세계시장 선도를 위한 대학 중심 반도체 인재양성 확대ㅇ (대상) 반도체 관련학과 대학생ㅇ (주요내용) 차량용 반도체(전력반도체) 특성화 교육과정 개발‧운영 등ㅇ (전달체계) 부산광역시 → 부산대학교(지역대학보조사업),교육,학생,소득무관,무관,무관,취업준비,연령무관,부산광역시청년기본조례(18~39),서비스지원,부산광역시 반도체산업 육성 지원 조례국가첨단전략산업법국가첨단전략산업 특성화대학 등 지정 및 지원에 관한 운영지침,7980
반도체 분야 전문인력 양성 (전력반도체 산업 육성을 위한 종합기술사업),"ㅇ (목적) 지역내 전력반도체 현장 전문인력 양성으로 기업유치 등 밸류체인 조성에 기여ㅇ (대상) 전력반도체 관련학과 대학생 및 석박사 과정 대학원생ㅇ (주요내용) 파워반도체상용화센터 인프라를 활용하여 현장 전문인력 양성, 석·박사 연구지원 등ㅇ (전달체계) 부산광역시 → 부산테크노파크 (공공기관 위탁)",교육,학생,소득무관,무관,무관,취업준비,연령무관,부산광역시청년기본조례(18~39),서비스지원,부산광역시 반도체산업 육성 지원 조례,200
"반도체 분야 전문인력 양성 (첨단산업(반도체) 인재양성 부트캠프 사업,한국해양대)","ㅇ (목적) 대학과 기업 공동 단기 집중교육 프로그램 개발‧운영으로 신속한 인재 공급 등ㅇ (대상) 반도체 관련학과 대학생ㅇ (주요내용) 대학이 기업과 공동으로 취업희망자(대학생) 대상 단기 집중교육 프로그램을 개발․운영하고, 인증 등 취업 연계 지원ㅇ (전달체계) 부산광역시 → 한국해양대학교(지역대학보조사업)",교육,학생,소득무관,무관,무관,취업준비,연령무관,부산광역시청년기본조례(18~39),서비스지원,부산광역시 반도체산업 육성 지원 조례국가첨단전략산업법국가첨단전략산업 특성화대학 등 지정 및 지원에 관한 운영지침,1500
부경대 캠퍼스 혁신파크 조성,"ㅇ (목적) 증가하는 대학 유휴 부지를 활용한 창업, 기업지원ㅇ (대상) 부경대학교ㅇ (주요내용) 대학 캠퍼스 유휴 부지 활용 도시첨단산업단지 조성, 기업 입주공간 건립, 정부 프로그램 종합 지원으로 혁신 생태계 조성 ㅇ (전달체계) 국토부, 교육부, 중기부 → 부산시 → 대학, LH",일자리,비학생,소득무관,무관,무관,예비창업청년,연령무관,연령무관,인프라지원,"고등교육법 제2조 제1호, 제2호산업입지 및 개발에 관한 법률부산광역시 지산학 협력 촉진에 관한 조례",200
부산 그린스타트업타운 조성,"ㅇ (목적) 지역특색 감안한 지속가능한 창업생태계 구축ㅇ (대상) 그린,디지털분야 창업기업ㅇ (주요내용) 복합허브센터 건립 (연면적 8,000㎡, 지상5층)ㅇ (전달체계) 창업기업 육성 및 교육 지원 등",일자리,학생여부무관,소득무관,무관,무관,예비창업청년,연령무관,연령무관,혼합형,중소기업창업 지원법 등,6000
부산 로컬크리에이터레벨업 사업,ㅇ (목적) 인구 감소‧관심 지역에 청년 로컬크리에이터를 중심으로 상권창업 촉진을 지원하여 지역 정주여건 개선과 지역경제 활성화에 기여ㅇ (대상) 창업 7년이내 부산 로컬분야 청년기업(39세이하)ㅇ (주요내용) 청년 로컬기업 기초진단 BM고도화 등ㅇ (전달체계) 부산시→부산경제진흥원(공공기관 위탁),일자리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산시 청년기본조례(19~39),혼합형,부산광역시 청년일자리 창출 지원 조례 제6조,650
부산 신혼부부 럭키7하우스 지원,"ㅇ (목적) 청년층 인구 부산 유출 방지, 신혼부부 자산형성 기회 부여ㅇ (대상) 부산지역 거주하고, 일정소득 기준 등을 만족하는 (예비)신혼부부ㅇ (주요내용) 부산시 거주하며 일정소득 기준 등을 만족하는 (예비)신혼부부에게 공공임대주택을 공급하고 최대 7년간 임차료 및 임차보증금의 대출이자를 지원ㅇ (전달체계) 부산시 직접 사업 수행(LH, BMC에서 공공임대주택 공급, 수행)",주거,학생여부무관,저소득,취약계층,저소득,취창업무관,연령무관,19세~39세 이하,혼합형,주거기본법공공주택특별법2022 부산 주거종합계획,950
부산 청년 패널조사,"ㅇ (목적) 부산 청년들의 삶의 현황 및 변화양상을 장기간 추적·반복 조사하여 효율적인 청년정책 수립을 위한 기초마련ㅇ (대상) 부산 청년패널 3,000명ㅇ (주요내용) 청년패널 대상 청년의 삶 전반 조사 및 결과분석ㅇ (전달체계) 부산시→(재)부산연구원(공공기관 위탁)",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년 기본 조례,400
부산 콘텐츠 아카데미 운영,"ㅇ (목적) 콘텐츠분야 신규인력 양성 및 실무자 역량 강화ㅇ (대상) 부울경 지역 청년 및 산업 종사자ㅇ (주요내용) 전문인력양성, 구직활동지원 등ㅇ (전달체계) 부산시→부산정보산업진흥원(위탁사업비)",교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,게임산업진흥에 관한 법률,902
부산광역시 청년정책조정위원회 운영,"ㅇ (목적) 청년정책에 관한 주요 사항 심의ㅇ (대상) 18~39세 청년ㅇ (주요내용) 부산시 청년정책 기본계획, 시행계획 심의 등",참여권리,학생여부무관,소득무관,취약계층,무관,취창업무관,청년연령,18세~39세,제도운영,부산광역시 청년기본 조례,7
부산권 대학 취업네트워크 활성화 사업,ㅇ (목적)대학생들의 취업역량 강화 및 취업 기회 확대 등을 통한 일자리 창출 기여ㅇ (대상) 부산지역 청년ㅇ (주요내용)학생 취업역량 강화를 위한 네트워크 구축 및 프로그램 운영ㅇ (전달체계) 부산시→부산경제진흥원 (출연금),일자리,학생여부무관,소득무관,무관,무관,취창업무관,연령구분,부산광역시청년기본조례(18~39),서비스지원,부산광역시 청년기본 조례,100
부산디지털혁신아카데미 운영,"ㅇ (목적) 5년간(22~26년) 5천명의 고급 ICT 인력 양성 및 양질의 일자리 취업까지 연계하여 기업과 구직자간 미스매치 해소 및 청년 역외 유출 방지ㅇ (대상) 만18세~34세 ※ 과정별 상이ㅇ (주요내용) ICT 인재양성 15개 사업 10,000명(연간 2,000명 내외)ㅇ (전달체계)  - 사업주체 : 부산시  - 운영기관 : 부산정보산업진흥원  - 유관부처 : 고용부, 과기부, 행안부",교육,학생여부무관 ,소득무관,무관,무관,취업준비,청년연령,18~39세※ 과정별 상이,서비스지원,부산광역시 대학 및 지역인재 육성지원에 관한 조례,29800
부산시 청년정책 책임관제 운영,"ㅇ (목적) 부산시, 구·군간 청년정책 공유 및 확산을 위한 청년정책 전달체계 구축ㅇ (대상) 시, 구·군ㅇ (주요내용) 청년정책 책임관 구성 및 운영, 우수기관 포상 등ㅇ (전달체계) 부산광역시 (직접사업)",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,연령구분,부산광역시청년기본조례(18~39),혼합형,청년기본법,9
부산웹툰캠퍼스 운영,ㅇ (목적) 우수 웹툰 창작인력 양성을 통한 지역 웹툰 산업기반 확대ㅇ (대상) 부산지역 일반인 및 웹툰 창작자ㅇ (주요내용) 웹툰 창작자 양성교육 과정 운영ㅇ (전달체계) 공공기관 위탁사업(부산정보산업진흥원),교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,만화진흥에 관한 법률 제4조부산광역시 만화·웹툰산업 진흥 조례 제6조 및 제9조,100
부산지역 항공인력 인턴십 지원사업,"ㅇ (목적) 항공전문인력 양성 및 취업연계 지산학 협력체계 구축ㅇ (대상) 부산지역 대학생(졸업생 포함) 및 지역 거주 청년층ㅇ (주요내용) 지역 청년 대상 항공산업체 직무실습 지원 등 ㅇ (추진체계) 총괄(부산시). 위탁운영(부산경제진흥원), 교육운영(지역대학, 지역항공사 등)",일자리,학생여부무관,소득무관,무관,무관,취업준비,청년연령,부산광역시청년기본조례(18~34)청년고용촉진특별법(15~29),서비스지원,부산광역시 청년기본 조례,300
부산지역인재 장학금,ㅇ (목적) 혁신도시 이전 공공기관의 기부금을 활용한 지역인재          육성 지원ㅇ (대상) 부산지역 대학 재학생(IT 및 상경 분야)ㅇ (주요내용) 생활장학금 및 취업장려금 지급ㅇ (전달체계) 부산시→부산테크노파크(공공기관 위탁),교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,현금성지원,-「부산광역시 대학 및 지역인재육성지원에 관한 조례」제14조-「부산지역인재 장학금」설립 업무협약(2022. 3. 17.),831
부산창업지원센터 지원,ㅇ (목적) 기술창업기업 성장단계별 맞춤형 지원체계 구축으로 지역 창업기업 육성성장 지원ㅇ (대상) 부산지역 예비창업자 및 7년 이내 기술창업자ㅇ (주요내용) 성장단계별 맞춤형 지원사업 운영(5단계 11개 사업)ㅇ (전달체계) 부산시→부산경제진흥원 (출연금),일자리,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,부산광역시 기술창업 지원 조례 제8조,3700
부산청년 일하는 기쁨카드,ㅇ (목적) 중소기업 청년근로나 복지지원으로 근로의욕 고취 및 장기재직 유도ㅇ (대상) 부산지역 청년ㅇ (주요내용) 생애 1회 100만원 복지비 지원ㅇ (전달체계)부산시→부산경제진흥원,일자리,학생여부무관,저소득,무관,무관,취업청년,청년연령,부산광역시청년기본조례(18~39),현금성지원,부산광역시 청년 기본 조례,1780
부산청년문화공간 청년작당소 운영,ㅇ (목적) 청년들의 문화체험 및 교류활성화ㅇ (대상) 부산지역 청년ㅇ (주요내용) 문화예술체험 프로그램 운영 등ㅇ (전달체계) 부산시→ 민간위탁기관(리멘 등),복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시청년기본조례,220
부산청년센터 운영,"ㅇ (목적) 청년주도 정책추진과 청년활동을 위한 소통 교류공간 운영ㅇ (대상) 부산지역 청년ㅇ (주요내용) 청년 거점공간 운영, 정책·참여·활동 교류사업 등 ㅇ (전달체계) 부산시→부산경제진흥원 (출연금)",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년기본 조례,700
부산청년주간 운영,"ㅇ (목적) 청년 이슈 공감대 확산 및 청년 참여 증진ㅇ (대상) 부산지역 청년ㅇ (주요내용) 부산청년주간 운영(기념식, 주간 프로그램 등)ㅇ (전달체계) 부산시 → 부산경제진흥원(공공기관 위탁)",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,18세~39세,혼합형,부산광역시 청년기본 조례,200
부산청춘기쁨카 지원,"ㅇ (목적) 교통취약 산단지역 청년노동자 통근애로 및 일자리 미스매치 해소ㅇ (대상) 기장군, 강서구 소재 중소기업 신규취업 청년ㅇ (주요내용)출퇴근 차량 임차료 지원ㅇ (전달체계)부산시→부산경제진흥원(공공기관 위탁)",일자리,비학생,소득무관,무관,무관,취업청년,청년연령,21~39세,현금성지원,부산광역시 청년 기본 조례,240
부산콘텐츠유니버시아드 지원,"ㅇ (목적) 콘텐츠 교류‧경쟁의장 제공, 영상전문인력 발굴육성ㅇ (대상) 국내‧외 콘텐츠 관련 학과 대학생 ㅇ (주요내용)부산콘텐츠유니버이사드(공모전, 온라인 전시 등)ㅇ (전달체계)부산시-(사)부산콘텐츠유니버시아드조직위원회-행사 개최",복지문화,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,「부산광역시 영상산업 진흥 조례」,79
부산혁신도시 지역인재 합동채용설명회,ㅇ (목적) 공공기관 채용정보 제공ㅇ (대상) 부산지역인재ㅇ (주요내용) 채용설명회 및 상담부스 운영ㅇ (전달체계) 부산광역시(민간용역),일자리,학생여부무관,소득무관,무관,무관,취업준비,연령무관,연령무관,서비스지원,혁신도시 조성 발전에 관한 특별법,30
사상인디스테이션 운영,"ㅇ (목적) 부산지역 청년문화 허브공간을 통한 청년문화 활성화ㅇ (대상) 부산지역 청년ㅇ (주요내용) 상설 및 기획공연, 공간 활성화 프로그램, 대관ㅇ (전달체계) 부산시→부산문화재단",복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시청년기본조례,300
산학연계 현장실습 브릿지 사업,"ㅇ (목적) 기업수요기반 대학 교과과정(장기 현장실습) 연계를 통해 지역 대학생의 실무 직무능력 함양 및 취업 연계 강화ㅇ (대상) 부산지역 대학생 및 현장실습 참여기업ㅇ (주요내용) 현장실습 기업 발굴,매칭,지원(500명), 지산학통합e-플랫폼 운영ㅇ (전달체계) 부산시→부산테크노파크(공공기관 위탁)",교육,학생,소득무관,무관,무관,취업준비,연령무관,연령무관,서비스지원,부산광역시 청년기본 조례,1800
신발산업 인력양성,"ㅇ (목적) 신발산업 전문 예비인력 양성으로 산업 경쟁력 강화 등ㅇ (대상) 경남정보대 신발패션과 재학생ㅇ (주요내용) 교과 과정 외 신발분야 교육, 훈련 및 취업지원ㅇ (전달체계) 부산시 → 경남정보대 산학협력단",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 신발산업 육성 및 지원에 관한 조례,50
신진예술인 인큐베이팅 및 경력개발 지원,"ㅇ (목적) 지역 청년예술인 창작 활동에 활력을 불어넣고, 우수 아티스트를 발굴하여 제작 공연 출연 기회를 제공하여 전문예술인으로 성장 할 수 있는 동력 마련ㅇ (대상) 부산거주, 관련학과 졸업예정자 또는 졸업자 청년ㅇ (주요내용) 신진청년예술인이 예술감독하에 공연연습 및 공연기회 제공ㅇ (전달체계) 부산시→부산문화재단",교육,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시청년기본조례,200
신진작가 아트페어 개최 지원,"ㅇ (목적) 신진 창작자의 미술시장 진출 및 기회 확대 지원ㅇ (대상) 신진작가(45세 이하, 개인전 3회 미만 또는 데뷔 10년 이하)ㅇ (주요내용) 신진 청년작가가 주도, 참여하는 미술 직거래 장터 개최ㅇ (추진체계) 부산광역시 직접사업(공모, 민경보)",문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,45세 이하,서비스지원,문화예술진흥법,100
신혼부부 주택융자 및 대출이자 지원,"ㅇ (목적) 신혼부부 주거비 부담완화로 결혼 출산 친화환경 조성ㅇ (대상) 혼인예정 3개월~혼인7년이내 무주택,    부부합산 연소득 8천만원 이하ㅇ (주요내용) 전세자금 대출 최대 2억원/대출이자 연 2.0% 지원ㅇ (전달체계) 부산시-한국주택금융공사-부산은행 업무협약",주거,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,대출지원,부산광역시 신혼부부 주택융자 및 대출이자 지원에 관한 조례,11000
워털루형 코업 프로그램 운영,"ㅇ (목적)대학의 학사과정을 혁신, 지자체-기업-대학 간 코업(Co-op) 프로그램을 활용하여 현장중심의 실무능력 인재양성과 취업으로의 연계 ㅇ (대상) 신산업분야 전공우수학생으로 3학년 위주 90명ㅇ (주요내용)이론-실습 학기를 반복하여(2년)  실무형 인재를 양성하는 산학연계 교과과정 운영ㅇ (전달체계) 부산시→부산경제진흥원(공공기관 위탁)",교육,학생,소득무관,무관,무관,취업준비,연령무관,연령무관,혼합형,부산광역시 지산학 협력 촉진에 관한 조례,1200
유라시아 도시외교단 추진,"ㅇ (목적) 유라시아 지역과의 협력분야 발굴 및 외교성과 창출ㅇ (대상) 부산 소재 대학교, 대학원 재휴학생 (만18세 이상 34세 이하)ㅇ (주요내용) 부산 경제인, 전문가 파견 등을 통한 판로 개척 발판 마련, 중앙아시아 국가와의 도시외교 강화 및 외연 확대ㅇ (기대효과) ‘유라시아 관문도시 부산’ 홍보, 통일시대 준비 및 협력 기반 마련, ‘부산발-유럽행 대륙철도사업’ 비전 실현",참여권리,학생,소득무관,무관,무관,취창업무관,청년연령,만 18세 ~ 34세,혼합형,부산광역시 국제교류 협력 촉진에 관한 조례,310
융합기술사업화 확산형 전문인력 양성,ㅇ (목적) 융합기술 사업화 확산형 전문가 양성을 위한 대학원 운영지원을 통한 전문인력 양성ㅇ (대상) 부경대학교 기술경영 전문대학원생ㅇ (주요내용)   - 다학제적·현장 중심의 교육을 통한 동남권 혁신리더 양성   - 동남권 융합기술사업화 생태계 구축과 혁신역량 제고   - 동남권 기술경영을 위한 새로운 지식 창출과 확산ㅇ (전달체계)   - 부산시→부경대학교 산학협력단,교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,국가연구개발혁신법부산광역시 지산학협력 촉진에 관한 조례 제14조,1452
이스포츠 대학리그 개최,"ㅇ (목적) 학원 이스포츠 활성화 및 이스포츠 활용 건전게임 이용문화 조성ㅇ (대상) 부산 및 인근지역 대학생 이스포츠팀ㅇ (주요내용) 지역 대학생 대상 이스포츠대회 개최로 지역대표 선발, 전국대회 참가 지원ㅇ (전달체계) 부산시-부산정보산업진흥원 공기관위탁 - 대회 개최",복지문화,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 이스포츠(전자스포츠) 진흥에 관한 조례,25
인공지능소프트웨어 분야 전문인력 양성 (SW중심대학 지원),"ㅇ (목적) 대학교육을 산업계 수요에 맞게 혁신하여 SW전문·융합 인재양성 및 SW가치확산ㅇ (대상) 대학생, 초중고등학생, 일반인ㅇ (주요내용) SW교육혁신,SW기초교육 및 가치확산 ㅇ (전달체계)  - 사업주체 : 부산시, 동명대, 동서대, 동아대  - 주관부처 : 과기정통부",교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 대학 및 지역인재 육성지원에 관한 조례,5295
인공지능소프트웨어 분야 전문인력 양성 (인공지능융합 혁신인재양성 사업 지원),"ㅇ (목적) 동남권 디지털 대전환을 선도하는 인공지능 기술 기반 글로벌 산학 인재 양성ㅇ (대상) AI대학원 석‧박사 과정 입학생, 지역 AI관련 기업ㅇ (주요내용) AI대학원 석박사과정 운영, 산학연 공동연구 수행ㅇ (전달체계)  - 사업주체 : 부산시, 부산대학교  - 주관부처 : 과기정통부",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,정보통신산업진흥법 제16조,1875
인공지능소프트웨어 분야 전문인력 양성 (지역 ICT이노베이션스퀘어 확산),"ㅇ (목적) 동남권 지역특화산업의 AI산업 적용으로 신성장 동력 마련 및 AI 전문인력 양성·공급ㅇ (대상) 취업준비생, 취·창업자, 재직자 등ㅇ (주요내용) AI, 블록체인 등 실무형 전문인재 양성 등ㅇ (전달체계)  - 사업주체 : 부산시, 부산정보산업진흥원  - 주관부처 : 과기정통부",교육,학생여부무관,소득무관,무관,무관,취업청년,연령무관,연령무관,서비스지원,부산광역시 대학 및 지역인재 육성지원에 관한 조례,3773
자립준비청년 지원 (자립수당 지원),ㅇ (목적) 보호아동의 안정적인 사회정착 및 자립을 위한 자립수당 지원ㅇ (대상) 보호조치 종료아동ㅇ (주요내용) 보호종료 후 5년간 월30만원 자립수당 지급ㅇ (전달체계)간접,복지문화,학생여부무관,저소득,취약계층,보호종료아동,취창업무관,청년연령,만18세 이상 보호종료아동,현금성지원,아동복지법 제 38조 및 동법 시행령 제38조,5160
자립준비청년 지원 (자립정착금 지원),"ㅇ (목적) 보호아동의 자립 정착 기반 조성을 위한 자립정착금 지원ㅇ (대상) 보호조치 종료아동ㅇ (주요내용) 자립정착금 비장애아동 600만원, 장애아동 700만원 지원ㅇ (전달체계)간접",복지문화,학생여부무관,저소득,취약계층,보호종료아동,취창업무관,청년연령,만18세 이상 보호종료아동,현금성지원,아동복지법 제 38조 및 동법 시행령 제38조,1700
저소득 청년 자산형성 지원 (청년내일저축계좌),"ㅇ (목적)저소득 근로청년 자산형성 지원ㅇ (대상) 기준중위소득 100%이하 근로청년(15~39세)ㅇ (주요내용) 10만원 저축시, 1:1(차상위 이하 1:3) 매칭 지원ㅇ (전달체계) 복지부→지자체→한국자활복지개발원→통장 적립",주거,학생여부무관,저소득,취약계층,저소득,취업청년,연령구분,15~39세,현금성지원,｢국민기초생활보장법｣ 제18조의8(자산형성지원),19119
저소득 청년 자산형성 지원 (청년저축계좌),"ㅇ (목적) 저소득 근로청년 자산형성 지원ㅇ (대상) 주거교육급여 수급 가구 또는 차상위가구의 근로청년(15~39세)ㅇ (주요내용) 10만원 저축시, 1:3 매칭 지원ㅇ (전달체계) 복지부→지자체→한국자활복지개발원→통장 적립",주거,학생여부무관,저소득,취약계층,저소득,취업청년,연령구분,15~39세,현금성지원,｢국민기초생활보장법｣ 제18조의8(자산형성지원),1091
